Time,Actual_CWND,Predicted_CWND
108,388064,395536
109,395304,434639
110,285256,445581
111,296840,374202
112,308424,443767
113,318560,502047
114,328696,518797
115,335936,508907
116,344624,529585
117,351864,551290
118,357656,542523
119,363448,547281
120,369240,561155
121,373584,596603
122,377928,607641
123,382272,622335
124,385168,638524
125,388064,636368
126,389512,678927
127,392408,701892
128,393856,722546
129,395304,728809
130,396752,756118
131,396752,792840
132,398200,805773
133,398200,830992
134,398200,860550
