destination,hop,hop_ip,rtt_ms_mean,rtts_ms
209.40.123.215,3,10.192.208.215,8.289,8.289
209.40.123.215,4,38.140.193.25,15.631,15.631
209.40.123.215,5,154.54.46.177,15.310,15.310
209.40.123.215,6,154.54.165.133,21.922,21.922
209.40.123.215,7,154.54.31.93,34.163,34.163
209.40.123.215,8,154.54.94.58,32.630,32.630
209.40.123.215,9,154.24.33.114,36.370,36.370
209.40.123.215,10,38.32.190.154,33.782,33.782
209.40.123.215,11,160.223.171.204,35.907,35.907
209.40.123.215,12,209.40.123.215,36.845,36.845
23.249.60.154,3,10.192.208.215,14.749,14.749
23.249.60.154,4,128.241.8.46,13.592,13.592
23.249.60.154,9,129.250.5.199,150.754,150.754
23.249.60.154,10,153.254.88.34,159.546,159.546
23.249.60.154,11,83.231.169.150,149.724,149.724
105.235.237.2,3,10.192.208.215,11.867,11.867
105.235.237.2,4,38.140.193.25,14.714,14.714
105.235.237.2,5,154.54.46.177,16.009,16.009
105.235.237.2,6,154.54.6.222,22.157,22.157
105.235.237.2,7,154.54.169.198,31.689,31.689
105.235.237.2,8,154.54.169.221,32.681,32.681
105.235.237.2,9,154.54.167.30,96.880,96.880
105.235.237.2,10,154.54.74.165,101.747,101.747
105.235.237.2,11,130.117.0.165,103.749,103.749
105.235.237.2,12,154.54.76.29,102.820,102.820
105.235.237.2,13,149.6.185.186,102.692,102.692
105.235.237.2,14,41.242.115.192,133.739,133.739
105.235.237.2,15,185.1.131.19,134.534,134.534
105.235.237.2,16,197.214.64.17,230.037,230.037
105.235.237.2,17,197.214.64.209,234.586,234.586
105.235.237.2,18,105.235.239.198,231.012,231.012
105.235.237.2,19,105.235.237.197,254.236,254.236
105.235.237.2,20,105.235.237.2,243.660,243.660
207.211.214.65,3,10.192.208.215,9.566,9.566
207.211.214.65,4,62.115.192.212,9.893,9.893
207.211.214.65,6,62.115.132.134,29.025,29.025
207.211.214.65,7,62.115.139.247,111.208,111.208
207.211.214.65,8,62.115.137.235,100.104,100.104
207.211.214.65,9,62.115.116.231,110.908,110.908
207.211.214.65,10,62.115.125.34,106.986,106.986
207.211.214.65,11,79.127.192.115,109.777,109.777
169.150.228.129,3,10.192.208.215,9.667,9.667
169.150.228.129,4,38.140.193.25,14.278,14.278
169.150.228.129,5,154.54.46.177,13.386,13.386
169.150.228.129,6,154.54.173.125,25.128,25.128
169.150.228.129,7,154.54.173.121,29.849,29.849
169.150.228.129,8,154.54.5.162,52.619,52.619
169.150.228.129,9,154.54.170.122,109.648,109.648
169.150.228.129,10,199.100.8.2,108.036,108.036
